,datetime,city,state,country,shape,duration_s,hours,comments,date_p,latitude,longitude
1,10/10/1949 21:00,lackland afb,tx,us,light,7200,1-2 hrs,1949 Lackland AFB&#44 TX.  Lights racing across the sky &amp; making 90 degree turns on a dime.,12/16/2005,29.384209999999996,-98.581082
18,10/10/1973 23:00,bermuda nas,,bm,light,20,20 sec.,saw fast moving blip on the radar scope thin went outside and saw it again.,1/11/2002,32.364167,-64.678611
19,10/10/1974 17:00,willow beach,az,,light,120,2 min,The object was a brillant white light standing out against the bright arizona sky,2/18/2001,0.0,0.0
30,10/10/1979 22:00,saddle lake (canada),ab,ca,triangle,270,4.5 or more min.,Lights far above&#44  that glance; then flee from the celestrialhavens&#44 only to appear again.,1/19/2005,53.970571,-111.689885
36,10/10/1982 07:00,gisborne (new zealand),,nz,disk,120,2min,gisborne nz 1982 wainui beach to sponge bay,1/11/2002,-38.662334,178.017649
41,10/10/1986 20:00,holmes/pawling,ny,us,chevron,180,3 minutes,Football Field Sized Chevron with bright white lights on front&#44 moving slowly with absolutely no sound,10/8/2007,41.523427000000005,-73.646795
42,10/10/1987 20:00,manilla (rr#1) (canada),on,,disk,600,10/mins,We could clearly see the craft and observed in detail it&#39s structure&#44no sound was made by it and the lights that were flashing were not,8/5/2001,0.0,0.0
49,10/10/1989 21:00,kranklin,ky,us,triangle,180,3min,Triangle seen in franklin Ky - october 1989,5/11/2005,36.722263,-86.577218
50,10/10/1990 20:00,pense (canada),sa,,unknown,180,1/2 hr.,i saw something one rainy night&#44 and i&#39ll never forget it as long as i live.,10/12/2001,0.0,0.0
58,10/10/1993 03:00,zlatoust (russia),,ru,sphere,1200,20 minutes,I woke up at night and looked out the window near my bed. There was a huge sphere of shining light in front of our nine floor apartment,12/14/2004,55.183333,59.65
61,10/10/1994 15:00,mercedies,tx,us,cigar,3600,1 hour,ufo chased by fighter jet over Rio Grande Valley. Seen on news,12/12/2011,26.149798,-97.913611
65,10/10/1995 17:05,puerto rico (puerto rico),pr,us,,0,,Woman calls regarding fiance who is having peculiar &quot;flash back&quot; recall of alien type creatures.  Directed to investigator.,11/2/1999,18.220833,-66.590149
69,10/10/1996 20:00,lake macquarie (nsw&#44 australia),,au,light,300,5 min,RED LIGHT WITH OTHER RED FLASHING LIGHT&#44 ONE OBJECT,5/24/1999,-33.093373,151.58898200000002
76,10/10/1998 02:00,turin (italy),,,disk,15,15 sec,We were doing a patrol during the night&#44me and my friend were on guard duty in a military camp wich was a big field in the middle of a,1/19/2005,0.0,0.0
82,10/10/1998 20:30,nyc/westchester area,ny,us,triangle,60,< 1 min,Lights over NYC,10/30/2006,40.935998,-73.901708
88,10/10/1999 03:00,st. agnes de dundee (canada),pq,,egg,5400,90 min.,early morning bright object egg shape fully colorder chaging colors as it turn as it was going it change to white colors,12/2/2000,0.0,0.0
97,10/10/1999 22:00,dorset (uk/england),,,flash,1,<1 second,Whilst out late night cycling (as i have done so for many years and am a hardy fellow);I paused at the cliff tops of our local beach&#44(a,2/14/2006,0.0,0.0
98,10/10/1999 22:30,casey key (north end of),fl,us,triangle,120,several minutes,A large trianglual shaped craft flew from horizon to horizon as observed from the stern deck of a motor vessel,9/19/2002,27.150053000000003,-82.480653
102,10/10/2000 03:45,carnival cruise ship (paradise) (caribbean),,,flash,1200,20 mins.,Motionless eratic flashing light.,12/9/2000,0.0,0.0
105,10/10/2000 16:00,jueanu,wi,us,triangle,45,45 seconds,5 bight light V shaped,12/2/2000,43.40555,-88.705104
106,10/10/2000 20:20,valley park area of st. louis,mo,us,oval,15,15 seconds,Driving on Hyw.141 at Hyw. 44 and going East&#44 I witnessed to my right a glowing orb of light streak horizontally from East to West at a,12/2/2000,38.627003,-90.199404
126,10/10/2002 22:00,bahamas,,bs,egg,0,,we are sitting outside and commenting on all the air traffic tonight. over to the east we were watching what we thought a plane but nev,10/15/2002,25.03428,-77.39628
128,10/10/2003 09:00,new buffulo,mi,us,light,120,2 minute,Craft that suddenly vanishes and another one that shows up and does strange things at high speeds,5/24/2005,41.793929999999996,-86.743915
136,10/10/2003 23:00,bickerton (near wetherby) (uk/england),,gb,unknown,2700,45minutes,two bright&#44 but fuzzy lights going in a hovering circle about 200 yards of the ground&#44 with a grey cloud above them,10/15/2003,53.070884,-2.7365060000000003
139,10/10/2004 03:30,worthington st. forest,nj,us,other,2700,45 min,witnessed a large object and an intense red light that illumiated the object.,10/27/2004,40.058324,-74.405661
147,10/10/2004 15:20,kedainiai (lithuania),,lt,oval,240,4min,6 oval light objects very quickly rounded under the dark cloud for a some minutes ((NUFORC Note:  Possible advertising lights??  PD)),10/27/2004,55.28813100000001,23.957728
148,10/10/2004 19:00,chateauqua,ny,us,formation,1200,20 min,4 bright circles in a half rainbow formation with a longer bright strip at the top of the formation,10/27/2004,42.209773999999996,-79.466844
172,10/10/2006 19:00,unsure,ar,us,fireball,2,a few seconds,Extreme sound with trails and orange red blue hues to it.  The trails were bright bright white.,12/7/2006,35.20105,-91.83183299999999
189,10/10/2007 20:24,west palm beach florida,fl,us,fireball,180,approx 3 mins,Burning ball across the sky over central/south florida. Strobing effect towards end of the final view of object.,11/28/2007,26.705621,-80.03643000000001
199,10/10/2007 23:20,stord (norway),,no,light,600,10 min,Thise could be an ETV case&#44 but it could also be helicopters or/and airplanes,1/21/2008,59.900209,5.282347
211,10/10/2008 20:00,moon township,pa,us,unknown,120,2 minutes,unknown rectangular shaped aircraft with bright lights seen over Rt. 60 near Pittsburgh International Airport&#44 definitely NOT a plane,10/31/2008,40.516977000000004,-80.22134799999999
219,10/10/2009 00:00,greenland,,,rectangle,0,,Found this on google maps 70.5&#44 -40.3 Look it up&#44 this can&#39t be an error or an artifact on the photo it is 50+ miles long.,12/12/2009,0.0,0.0
237,10/10/2010 15:00,san francisco airport,ca,us,triangle,300,5 min.,White or light grey colored and leaving red/orange contrails on a bright blue sky.,9/30/2013,37.615223,-122.389979
257,10/10/2011 18:15,peabody-saugus,ma,us,flash,2700,45 minutes,Flashing light in the sky as airplanes flew by.,10/19/2011,42.468164,-71.01411800000001
259,10/10/2011 19:30,murfeesboro/smyrna,tn,us,,2700,30-45 minutes,Multi color oblect over Smyrna/Murfreesboro 10/10/11,10/19/2011,35.947474,-86.48836700000001
267,10/10/2012 15:00,san francisco airport,ca,us,triangle,300,5 minutes,San Francisco International Airport         afternoon      about  5minutes       super clear conditions,9/30/2013,37.615223,-122.389979
275,10/10/2012 20:17,mount albert (canada),on,ca,triangle,30,30 seconds,On Wednesday October 10 2012 at 8:17 pm in Mount Albert Ontario I saw a triangle shaped UFO. It had a single light on each point and it,10/30/2012,44.136076,-79.308339
286,10/10/2013 00:00,clifton,nj,us,light,60,<1 minute,Bright light&#33&#33,10/14/2013,40.858433000000005,-74.16375500000001
289,10/10/2013 05:00,aurburn,ky,us,triangle,600,10 minutes,Three bright lights over field.,10/14/2013,36.864209,-86.710273
310,10/11/1989 02:30,copenhagen (denmark),,,fireball,180,3min.max&#39,ann:Light as an exploding thing then taking form to a ball&#39and first scatter the to the nearest corner&#44next the opposit&#39site of the lau,2/12/2004,0.0,0.0
316,10/11/1994 24:00,hot springs and custer,sd,us,triangle,0,,October 11&#44 1994--Hot Springs/Custer--triangle alerts dogs/ MUFON investigator witnesses,9/2/2005,43.431646,-103.474362
321,10/11/1997 22:00,hafnarfjordur (iceland),,is,sphere,300,5 min,playing with a jet,6/12/2008,64.06666700000001,-21.95
322,10/11/1997 23:30,esl&ouml;&#44 scania (sweden),,,,600,10 minutes,During an IYCW (International Youth Camp Weekend)&#44 when we were sitting in groups of different campfires in an area of a quarter of one,1/28/1999,0.0,0.0
333,10/11/1999 06:10,somerset?,wi,us,unknown,120,2 minutes,Huge pulsating red light over I-94.  High overhead&#44 moving east,10/19/1999,45.124411,-92.673537
347,10/11/1999 22:15,parker&#39s lake,ky,us,disk,900,10-15 min,Flashing lights sighted out of my window,10/19/1999,37.704344,-88.426757
368,10/11/2003 07:00,fort knox,ky,us,fireball,3,2-3 seconds,i saw a large fireball falling to earth in the early morning hours on  Oct.11&#442003 in Kentucky,11/8/2003,37.916104,-85.95624699999999
370,10/11/2003 13:00,nebraska (above?&#44 or above south dakota),ne,us,cigar,2,seconds,rather large cigar shaped object photographed from airplane window,10/15/2003,41.492537,-99.901813
380,10/11/2004 10:00,nuevo laredo (mexico),,mx,light,1200,20min,While I was driving I stopped at a traffic light and when I turned to wait for the green light&#44 I saw 11 bright lights in the sky,7/16/2006,27.477936,-99.549573
384,10/11/2004 19:00,strongsvilles,oh,us,light,5,5 seconds,neon green light or object traveled eastward then fell out of view&#44 no aircraft nearby,10/27/2004,41.314496999999996,-81.83569
392,10/11/2005 03:20,siloam sprngs,ar,us,circle,180,3 min,Round light appeared to be surrounded by fog&#44 approaced from south neaded NNE&#44 changed speed&#44 then turned sharply west.,10/20/2005,36.188137,-94.54049599999999
393,10/11/2005 16:00,canyonlands np,ut,us,formation,600,10 minutes,((NUFORC Note:  Possible satellites.  PD))  Needles Outpost: I was admiring the stars I saw 3 moving objects&#44 all in a row.,10/20/2005,39.32098,-111.093731
395,10/11/2005 18:33,pearl harbor,hi,us,light,2,2 seconds,Fast moving light in the sky South of Peal Harbor,10/20/2005,21.344507,-157.97489099999999
405,10/11/2006 02:00,calumet city,in,us,circle,420,7 minutes,i work as a security guard at the calume t city airport. i have grave yard shift fom 11:pm to 7 am. i was doing my round checking the p,10/30/2006,41.615590999999995,-87.529487
406,10/11/2006 05:40,york,me,us,disk,30,30 seconds,Illuminated but not shiny disc  with three large pulsing lights underside&#44 white to red&#44 following path along the Atlantic coastline.,10/30/2006,43.161747999999996,-70.648258
407,10/11/2006 09:00,littlerock,ar,us,oval,600,10 minutes,The first object was shaped like an oval and appeared coming out the southwest traveling in an eastern direction this object appeared t,10/30/2006,34.746481,-92.28959499999999
421,10/11/2007 19:28,brassall (australia),,au,unknown,3600,1 hour +,Accidentally photographed very strange UFO,11/28/2007,-27.597553,152.7455
427,10/11/2008 00:00,klagenfurt (austria),,at,chevron,60,1 minute,It came from the direction of the city&#44 when I stood on a hill in total darkness in the countryside. It was moving strangely&#44  not stra,3/19/2009,46.62794,14.30899
432,10/11/2008 17:30,bellmere (australia),,au,cylinder,240,4 minutes,Very large long white cylinder object traveling high up and smoothly above storm clouds.,1/10/2009,-27.088078999999997,152.928057
438,10/11/2008 20:30,villa park/lombard,il,us,changing,300,5 minutes,Several Orange Lights Over Vila Park Lomabrd Areas 10-11-2008,3/19/2009,41.885738,-87.969213
441,10/11/2009 00:00,sedro woolley,wa,us,unknown,10,10 seconds,Unusaul flight charactoristics,12/12/2009,48.503890000000006,-122.23611000000001
454,10/11/2010 04:00,moxee,wa,us,rectangle,1,1 sec and 1 sec,bow shockwave with rectangle craft it was hyperfast,11/21/2010,46.553733,-120.38316200000001
462,10/11/2010 23:20,clinton township,mi,us,fireball,15,15 seconds,Fireball lifted into the sky and dissipated into a cloud.,11/21/2010,42.586888,-82.919551
474,10/11/2012 04:05,las vegas; enroute to (15 n freeway),nv,us,disk,0,,UFO on 15 N freeway,10/30/2012,38.802609999999994,-116.419389
475,10/11/2012 07:00,bablyon,ny,us,disk,120,2 minutes,Saw a object that was very odd in the sky over the ocean off fire island inlet&#33&#33,10/30/2012,40.695655,-73.325675
496,10/11/2013 19:20,north cincinnati,oh,us,fireball,600,10 minutes,Some sort of fireball came down from the sky very rapidly soon to turn into 3 flying disc that where lit up (clearly not stars) they se,10/14/2013,39.103118,-84.51201999999999
504,10/11/2013 20:15,bonaie,ga,us,light,300,3-5 minutes,15-25 red/orange lights moving at a low altitude in the same pattern with no sound at all.,10/14/2013,32.543889,-83.596111
516,10/11/2013 22:53,shelby township,mi,us,changing,0,6,Strange lights&#44 Michigan night sky 10:53 PM.,10/14/2013,42.670782,-83.032993
520,10/1/1952 03:30,fukuoka (japan),,jp,disk,1200,about 20 mins,UFO seen by multiple U. S. military personnel; F-86 intercept.,12/7/2006,33.590354999999995,130.401716
523,10/1/1955 22:00,mono lake (area),ca,us,circle,5,five seconds+/-,NO KNOWN AIRCRAFT (1955 and maybe today) COULD MAKE SUCH A SPEEDY 360 DEGREE CIRCLE MANUVER&#44 WITH NO SOUND &#33,3/19/2009,38.007059000000005,-119.01225900000001
528,10/1/1957 22:00,northeast cape afs,ak,us,,900,10-15min,Radar sighting and filming,1/28/1999,70.292489,-161.903334
531,10/1/1959 20:45,duluth,wi,,,1200,15-20 minutes,Single saucer shaped craft observed from Duluth Mn. skies over Lake Superior-first  stationary&#44 then NW movement.,8/5/2012,0.0,0.0
536,10/1/1965 02:00,desert,nm,,disk,900,15 minutes,While traveling at night we saw what appeared to be a glowing dish in the distance about 600 yards away and 200 ft  high. The car light,6/2/1998,0.0,0.0
547,10/1/1967 19:00,hudson&#39s hope (canada),bc,ca,sphere,120,2 minutes,Large round silver UFO in Peace River Valley 1966-67,2/18/2001,56.031639,-121.905722
550,10/1/1968 15:00,lima (peru),,,circle,300,2-5 minutes,It hovered over the park for several minutes then suddenly took off at incredible speed.,7/13/2005,0.0,0.0
553,10/1/1970 00:00,viet nam,,vn,light,600,5/10 minutes,U.F.O. in Vietnam    1970,6/4/2004,14.058323999999999,108.277199
557,10/1/1970 19:00,summit lake indian reservation,nv,us,oval,1500,25min.,ball of light&#44 turned into a doughnut shape&#44 assention&#44 stream&#44 4 witnesses&#44seen from higher elevation.,8/11/2004,41.524898,-119.05102
560,10/1/1970 23:00,indian ocean (usn vessel),,,light,240,3-4 minutes,Bright object seemingly appeared out of nowhere in the Indian Ocean&#44 miles from any land.,7/8/2004,-33.137551,81.826172
566,10/1/1972 23:00,pickens/pumpkintown,sc,us,chevron,1800,30+ minutes,Slowly moving boomerang shape with four bluish-white lights on each leading edge; made a humming sound.,8/5/2001,35.002778,-82.652778
571,10/1/1973 20:30,north st. paul,mn,us,triangle,120,two minutes,Large triangular space craft sighted above North Senior High School&#39 football field&#44 in North St. Paul&#44 MN in early October 1&#44 1973,7/30/2002,45.012465999999996,-92.991883
578,10/1/1974 20:00,ankara (turkey),,tr,changing,300,5 min.,A bright&#44 huge&#44 and shape-changing object&#44 exploded into numerous smaller spherical objects which moved in formation.,8/7/2007,39.920770000000005,32.85411
581,10/1/1975 15:30,waterloo (belgium),,,sphere,180,3 minutes,Dull metallic 9-inch sphere follows perfectly linear path at 5-10 mph about 50 feet AGL.,3/27/2014,0.0,0.0
582,10/1/1975 21:00,kincheloe air force base&#44 michigan,mi,us,triangle,15,15 seconds,Shaped like the letter &quot;A&quot;&#44 flew directly over top of us at est 500 ft.,2/16/2000,44.314844,-85.602364
587,10/1/1977 01:00,iselton,ca,us,light,120,2 minutes,While fishing on the San Joaquin river on Twithchell Island Rd.&#44 at the mouth of the Molklomne river&#44 we observed 2-lights high in the,7/13/2005,38.161861,-121.611621
593,10/1/1979 12:00,morden&#44 surrey (uk/england),,gb,circle,0,momentary,Spinning metallic object.,5/28/2005,51.394943,-0.19446
606,10/1/1981 20:00,mt. sterling,ky,us,disk,2400,one hour or more,Close up view of UFO after unexplained loss of time. 500 Lights On Object0: Yes,8/5/2012,38.056468,-83.943256
607,10/1/1981 24:00,texas city/galveston,tx,us,unknown,0,,UFO sighting in Texas City/Galveston in October/November&#44 1981.  Anyone remember this?,11/28/2007,29.383845,-94.9027
611,10/1/1983 20:30,elizabeth township,pa,us,oval,720,12minutes,My friend and I saw eight oval crafts with lights performing very unusal manuvers,5/15/2006,40.256648,-79.81846800000001
620,10/1/1985 21:30,santa margarita/atascadero (between&#44 hwy 101),ca,us,other,120,2 &#33/2  min.,we were driving north on hwy 101 from san luis obispo to atascadero&#44 when from the west came a &quot;ufo&quot; traveling east&#44 passing over the h,6/23/1999,35.423334999999994,-120.618785
623,10/1/1986 22:00,n. ridgeville,oh,us,triangle,300,5 minutes,Black triangular craft with green lights hovering over the tree tops,12/16/2005,41.389491,-82.019032
632,10/1/1989 18:00,ft. walton beach,fl,,circle,1200,20 min.,As a law enforcement officer I was dispatched to a UFO sighting near a military base.,3/31/2008,0.0,0.0
645,10/1/1991 19:00,fort lee,nj,,unknown,300,5 minutes,A blimp shaped object with low lighting or shimmering effect outline hovering next to the G. W. Bridge over the Hudson River.,9/2/2005,0.0,0.0
649,10/1/1992 01:30,echo summit (sierra at tahoe ski area),ca,us,sphere,90,90 seconds,This was an object that could hover stationary and then accelerate to 2&#44000 mph or possibly much higher... it would move instantaneousl,1/22/2000,38.812963,-120.03018300000001
653,10/1/1992 22:00,henderson/oxford,nc,us,cross,0,not sure,Never seen a UFO....come to Henderson.,6/21/2000,36.364127,-78.527751
659,10/1/1994 17:00,tylertown/mccomb (between; on hwy. 98 ),ms,us,changing,1200,20 minutes,orange molten-metal&#44 crescent-shaped object paralleling car for 15 - 20 minutes,6/12/2008,31.243787,-90.453153
671,10/1/1995 21:00,uk/england,,gb,light,0,,I was stargazing when I saw a plane fly overhead towards the Irish sea. Flying beside the plane was a ball of light. The light circled,8/28/2002,52.355518,-1.17432
678,10/1/1996 01:00,lake berryessa,ca,us,sphere,15,15 seconds,Deep Blue Sphere seen over Lake Berryessa&#44 California,10/30/2012,38.609741,-122.25404499999999
686,10/1/1997 01:10,fort jennings,oh,,other,120,2 minutes,I saw an object moving from north to south which appeared to have red and orange revolving lights around it.  The craft was absolutely,1/28/1999,0.0,0.0
689,10/1/1997 08:00,oregon (rural),or,us,rectangle,20,20 seconds,noisy rectangular object falling from the sky and crash landed,5/15/2006,43.804133,-120.554201
712,10/1/1998 21:00,wadley (5 hrs from san luis opsipo) (mexico),,,triangle,900,15 min each,While on a 5-day camping trip in Mexico&#44 two campers had a close encounter on TWO occasions.,11/19/1998,0.0,0.0
714,10/1/1998 21:02,mt sterling,il,us,formation,900,15 minutes,3 orange fireballs in triangle formation - 1 triangle shaped craft without sound.,11/1/1998,39.987271,-90.763463
725,10/1/1999 19:00,nellis air force base (50-100 miles east of),nv,us,light,180,3 minutes,On Friday October 1 around 7 in the evening I was driving south and about 50 miles east of Nellis Air Force base.I noticed an bright ob,11/17/1999,36.241416,-115.050807
727,10/1/1999 21:30,endicott/binghamton,ny,us,formation,0,kept hoovering,bright lights moving back and forth&#44 they kept comming together and seperating,11/17/1999,42.087675,-75.96158100000001
729,10/1/1999 23:00,blankenberge (belgium),,be,formation,10,10 seconds,upside down V formation of 9 birght lights on high altitude changed to M formation in less than a second,4/8/2002,51.312374,3.132768
733,10/1/2000 13:00,yangtzee river (china),,cn,disk,900,15 minutes,Picture taken of disk in sky&#44 that appears to be somthing out of the ordinary.,7/5/2008,31.846940000000004,120.87286200000001
745,10/1/2000 22:00,healesville. victoria (australia),,au,light,40,2/3 minutes,light in sky projecting &quot;beam&quot;.,8/28/2003,-37.653828999999995,145.517006
752,10/1/2001 21:00,interstate 5 or tributary between vasilia and sacrammento,ca,us,triangle,300,5 minutes,black triangle &#44 3 lights&#44 silent swift movement&#44 near air force base,1/31/2004,36.778261,-119.41793200000001
757,10/1/2001 24:00,chulucanas-piura la vieja (peru),,pe,other,6312000,2 years,go to:  http://www.24horas.com.pe/data/videos/reportajes/repor020203_2.php for a 15 min report that aired last Feb 2nd on Peruvian TV P,3/4/2003,-5.1295470000000005,-80.12056899999999
759,10/1/2002 00:30,hong kong,,cn,formation,1800,30 minutes,Sighting in Hong Kong SAR,10/15/2002,22.396428,114.10949699999999
774,10/1/2002 06:30,natrona heights&#44 new kensington,pa,us,light,7200,2 hours,Westmoreland &amp; Allegheny County UFO Phenomena Pink Columns Rays; 6 UFO&#39s: Tangerine Brillance Lights Manuevers clearly visible,10/30/2012,40.616187,-79.72411
778,10/1/2002 13:35,karavostasi (greece),,gr,cross,60,1 minute,a look-through aircraft a la &#39predator&#39,12/14/2004,39.337515,20.289964
796,10/1/2003 18:15,perry township,oh,us,cigar,1200,20 min,an object appeared to get larger then smaller till it disappeared,4/30/2004,40.773662,-81.460856
803,10/1/2003 22:40,slocan park (canada),bc,ca,light,2,few seconds,HBCCUFO CANADIAN REPORT:  A glowing white ball dropped from the sky.,10/7/2003,49.51397,-117.61838700000001
805,10/1/2003 24:00,west central missouri,mo,us,light,0,,MISSOURI INVESTIGATORS GROUP Report:  West Central Missouri UFO Flap In Early Autumn 2003,11/11/2003,37.465053000000005,-90.346784
812,10/1/2004 22:20,sebastian inlet (north of),fl,us,other,3,2 to 3 seconds,Posibly crashing hexagon shaped object with very bright green lights at it&#39s points.One of the points seemed to emit another greenlight,10/27/2004,27.860302,-80.447274
816,10/1/2005 00:00,evergreen park/tinley park/orland park,il,us,light,9000,from 11pm - 1:30 am,strange. dozens saw it . happens all the time,10/11/2005,41.462072,-87.894245
822,10/1/2005 00:55,midlothian/posen,il,us,light,900,10-15 minutes,3 pulsing red lights in triangular formation over Midlothian &amp; Posen&#44 IL...One by one they flicker out and dissappear.,10/11/2005,41.626389,-87.711667
828,10/1/2005 01:00,posen/midlothian,il,us,formation,900,about 15 minutes,3 Red Lights slowly flew over South Suburbs of Chicago at 1am 1Oct05&#44 then disappeared one at a time.,10/11/2005,41.626389,-87.711667
856,10/1/2005 19:00,winnamac,in,us,triangle,15,15 seconds,orange triangular shape that turned on and off two times,10/11/2005,41.051429999999996,-86.603065
865,10/1/2005 21:41,montr&eacute;al (canada),qc,ca,changing,0,don&#39t know,I just want to take a picture of Montr&eacute;al and when i come here in front on my computer i see that green and orange thing in front of me,10/11/2005,45.50867,-73.55399200000001
867,10/1/2005 22:30,portage la prairie (canada0,mb,ca,other,30,30 seconds,Six lights in a strange formation surrounded by two long rectagular objects,10/30/2012,49.972636,-98.282777
869,10/1/2006 00:00,lake wasahetchie,mi,us,chevron,0,15,The glowing balls were at least thirty feet across or so,4/27/2007,44.314844,-85.602364
872,10/1/2006 01:20,bursa (turkey),,tr,teardrop,3,3 seconds,Bright green object in the sky,10/30/2006,40.182846000000005,29.067084
875,10/1/2006 06:00,iraq,,iq,triangle,15,15 seconds,I SAW THE SAME THING  IN 2006,7/5/2008,33.223191,43.679291
881,10/1/2006 16:50,obrien,or,us,other,120,2 min.,This all started earier in the day&#44 as I fired some small arms&#44 I noticed a sound of thunder then a sonic boom then the sounds of a jet,10/30/2006,42.068889,-123.72083300000001
884,10/1/2006 18:30,west greenwhich,ri,us,disk,28800,8 hours,Saw Disc about 40 ft from me&#44 helicopters came and picked it up.,2/1/2007,41.714918,-71.463612
893,10/1/2006 21:00,sandrock,al,us,unknown,600,10min.,SEVERAL OBJECTS VERY HIGH IN THE SKY  AT NIGHT&#44 GLOWING RED&#44 AND JOINING IN PATTERNS.,10/30/2006,33.635026,-85.795908
896,10/1/2006 21:35,tin cup,co,us,changing,10,10 seconds,Four tightly packed objects glowing green moving at 150 mph 1/4 mile away spread out  equally spaced within 2 seconds.,10/30/2006,37.963699,-104.838261
898,10/1/2006 22:15,phoenix and saguaro lake,az,us,light,2,a few seconds?,Giant meteor sails over Saguaro Lake  Senta Scarborough and JJ Hensley The Arizona Republic Oct. 2&#44 2006 10:48 AM  Residents who saw a,10/30/2006,33.800592,-112.204047
906,10/1/2006 23:15,cerrillos,tn,us,changing,45,45 seconds,White fireball on huge object flying horizonally before changing colors&#44 emitting orange balls of light and evaporating,10/30/2006,35.517491,-86.58044699999999
908,10/1/2006 23:15,edwards/vail (between),co,us,formation,180,2-3 min.,Globular formation of 5-7 bright ball lights seen first and last as &quot;shooting stars&quot; by driver on I-70 near Vail&#44 Co.,2/24/2007,39.604851000000004,-106.35661200000001
918,10/1/2006 23:20,grand junction (15-20 miles,co,us,light,60,1 minute,6 LIGHTS FLOATING OVER DEBEQUE CANYON,10/30/2006,32.486672999999996,-91.963994
932,10/1/2007 02:30,sautee nacoochee,ga,us,light,10800,3 hours,3 fast blinking&#44 multicolored lights that lasted for over two hours and moved only over long durations of time to the naked eye.,10/8/2007,34.683983000000005,-83.67435
947,10/1/2008 00:24,kuala lumpur (malaysia),,my,disk,300,5mins,A huge &quot;creature&quot; built up with a line of bright line with a red light at the middle top of it&#44 appears in the dark clear Malaysia sky&#33,10/31/2008,3.1390029999999998,101.68685500000001
969,10/1/2008 21:00,yerevan (armenia),,am,unknown,60,1 minute,Red light appears in night sky and disappears.,5/13/2012,40.183333000000005,44.516667
975,10/1/2009 00:00,grafton,wv,us,light,20,20 seconds,Orange light hovering from east to west over town,8/21/2011,39.340925,-80.018966
979,10/1/2009 09:45,coitsville,oh,us,oval,0,,well&#44 it was hard to see bc of trees &amp; i was in a car&#44 but there were two HUGE crafts just hovering&#44 with about four-five round lights.,12/12/2009,41.101687,-80.532732
982,10/1/2009 19:00,grafton,wv,us,sphere,120,2 minutes,Orange Orb in West Virginia,12/12/2009,39.340925,-80.018966
992,10/1/2010 08:03,james island,sc,us,triangle,120,2 minutes (driving on the,10/1/10    James Island Connector Vshaped aircraft hovering over the JI Connector at 8: 12 pm,11/21/2010,32.753471999999995,-79.952845
996,10/1/2010 10:20,sterling heights/utica border,mi,us,sphere,300,5 min,5 glowing orange orbs/no sound/ rising in sky and heading south west then dissapearing within 5 min,11/21/2010,43.10729,-75.129221
1003,10/1/2010 21:00,pittsburgh area,pa,us,oval,0,,I79 sighting of hovering white object,11/21/2010,40.519024,-79.86950999999999
1007,10/1/2011 00:00,cabot/lonoke,ar,us,circle,3600,1+ hrs,A bright object sighted above our house that moves back and forth slowly and hovers.  ((NUFORC Note:  Possible star?  PD)),10/10/2011,34.974532,-92.016534
1008,10/1/2011 00:00,staten island (over),ny,us,unknown,600,10 minutes,Huge bright fireball descends over Staten Island.,12/12/2011,40.579532,-74.150201
1011,10/1/2011 05:30,alligator point,fl,us,unknown,7200,2 hours,Bright multicolored object with flashing red&#44 blue&#44 green and white lights&#44 stationary in sky.  ((NUFORC Note:  Twinkling star?  PD)),10/10/2011,29.807988,-84.859352
1017,10/1/2011 17:00,carrieres sous poissy (france),,fr,cigar,180,3 minutes,Huge grey cylinder rotating going down to my house from high altitude with no noise,12/12/2011,48.945484,2.037356
1029,10/1/2011 22:50,bluffton,sc,us,chevron,0,ongoing,Large white light with blue triangular glow sighted in Bluffton&#44 SC sky,10/10/2011,32.237147,-80.860387
1031,10/1/2011 23:00,greenville area,sc,us,light,14400,3-4 hrs,Red&#44 blue&#44 white lights seen hovering in the sky in the vicinity of the Anderson/Greenville area. ((NUFORC Note:  Possible star??  PD)),10/10/2011,34.818831,-82.412391
1033,10/1/2011 23:30,captiva island,fl,us,fireball,60,60 seconds,On Saturday night&#44 October 1&#44 2011 we observed a level fly by of what looked like an aircraft on fire. It seemed low in the sky&#44 under,10/10/2011,26.527578000000002,-82.194817
1034,10/1/2011 23:41,bluffton,sc,us,unknown,20,20 seconds,Ball of red/yellow light followed by a trail of fire falls to earth in or around Bluffton&#44 SC,10/10/2011,32.237147,-80.860387
1040,10/1/2012 08:30,hawthorne/los angeles,ca,us,circle,420,7 minutes,Metallic Stationary Object,10/30/2012,33.916403,-118.352575
1041,10/1/2012 09:00,vinton/roanoke,va,us,other,600,10 minutes,5 to 8 orange light  formation in the sky.,10/30/2012,37.280971,-79.896982
1057,10/1/2013 08:38,furlong,nj,us,other,120,1-2 minutes,Shape with lights hovering then inching then speeding in a direction.,10/3/2013,40.296217999999996,-75.082115
1058,10/1/2013 09:00,boulder/niwot,co,us,disk,300,5 minutes,Metallic object floating above Boulder.,10/3/2013,40.103874,-105.170819
1059,10/1/2013 09:42,cobb mountain,ca,us,fireball,1500,25 minutes,Bright round orange/red fireball.,10/3/2013,38.807404,-122.740546
1063,10/1/2013 12:40,lincoln,ri,us,light,4,4 seconds,Two white dots crossing paths around Lincoln and Providence RI.,10/3/2013,41.921110999999996,-71.435
1078,10/12/1967 01:45,viet nam (jungles of),,vn,other,3600,1 hour,Lights in the Nam,12/3/2004,14.058323999999999,108.277199
